h;x;y;Vpinput;Vpoutput;Vs;Ro;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr;Sio2;tiO2;al2O3;fe2O3;feO;mnO;mgO;caO;na2O;k2O;h2O
4;145,75;48,9;6,02;6,022313083;3,259024135;3,086545364;0,008477634;0,00017769;0,725726222;3,44E-05;7,12E-06;7,18E-05;0,265253294;0,000118346;0,000121606;1,19E-05;40,14688983;2,071105696;12,07301518;4,099270139;19,39868553;0,324276277;11,59397438;1,032357052;0,3529718;6,007502742;1,58994831
12;145,75;48,9;6,25;6,276385324;3,445923751;2,582262168;1,05E-05;0,021154223;4,46E-06;0,030244578;3,37E-06;3,30E-05;0,00071341;0,001016892;0,946819491;9,04E-09;63,27027825;0,023082038;19,14167543;0,309524357;0,38270375;0,013825084;0,450086459;1,534513447;2,893578586;115,8007125;0,330233738
14;145,75;48,9;6,29;6,17566911;4,158943467;2,680688552;0,993920151;0,000951243;1,59E-05;5,00E-05;4,44E-08;0,004133213;3,01E-05;4,76E-06;0,000894239;3,83E-07;99,684561;0,005026956;0,094358624;0,017629906;0,049790479;0,001225305;0,040519391;0,063315864;0,009694385;0,112365282;0,012648881
10;143,76;48,88;6,21;6,247673158;3,450520739;2,571793298;0,014705066;0,001129813;0,002498421;0,017498578;0,000237007;4,06E-05;0,001012168;0,08907779;0,873346129;0,000454435;64,57129711;0,024260933;18,79938143;0,289420673;0,321792864;0,015069677;0,344697285;0,901485174;3,628599853;106,8699993;0,332402816
12;143,76;48,88;6,25;6,267990835;4,109526464;2,744776991;0,823630098;0,000501752;0,051767035;0,048978919;0,01155295;0,055667321;0,002593117;0,005051702;6,20E-05;0,000195124;90,20831239;0,230502851;1,641542999;0,588615958;2,183524225;0,053577801;2,203755029;1,701871083;0,196492686;0,4767132;0,277796245
14;143,76;48,88;6,29;6,171939141;4,1477013;2,679330743;0,979174883;7,23E-05;1,60E-05;2,77E-07;5,30E-05;1,84E-06;0,000118211;0,018896474;2,37E-05;0,001643277;99,26847928;0,000675601;0,413022743;0,011701687;0,043638309;0,004340652;0,01322591;0,025976221;0,209689052;0,011373269;0,007511082
10;137,79;48,82;6,26;6,379450956;3,870875776;2,71544291;0,356811121;0,010978494;0,003929072;0,023855898;0,035219521;0,092485078;0,014328898;0,418267657;0,034949059;0,009175202;74,62978897;0,141826212;10,72462777;0,6767172;2,5302388;0,097367265;3,074566114;2,024914065;4,909728257;4,555323202;0,460954992
4;135,8;48,8;6,05;6,159025987;3,528785187;2,829004694;0,181323267;0,001206558;0,337357437;0,02898154;0,006299192;0,072593277;0,008351416;0,277369988;0,044521798;0,041995528;59,00129779;1,048022597;13,49256007;2,144734086;7,868276746;0,225968748;5,121813448;2,328056674;3,48673016;8,391713813;1,043441483
10;131,82;48,76;6,25;6,241263691;3,426245182;2,565211757;3,26E-05;0,002423413;0,002950649;0,006700929;0,000113704;3,89E-05;0,00103166;0,029472452;0,955085821;0,00214985;63,91003504;0,022320661;19,24760702;0,28030828;0,276037167;0,012564909;0,214708748;0,729556222;3,209048058;116,8442714;0,338149968
8;125,85;48,7;6,24;6,169862311;3,700400757;2,596580302;0,369901793;6,00E-06;6,78E-05;4,45E-05;6,14E-07;0,002427903;5,06E-07;1,06E-05;0,627537927;2,34E-06;77,33499638;0,009875211;12,16084333;0,162482671;0,084731563;0,002805752;0,069439149;0,358201745;1,892980519;76,74950327;0,216134743
10;121,87;48,66;6,27;6,254967209;4,16365145;2,718919883;0,879496296;0,000346402;0,00123734;0,00219796;0,000212084;0,011799238;0,053687063;0,049100816;0,00187806;4,47E-05;94,73195661;0,031651782;1,263944946;0,245256183;1,749938917;0,03391069;0,999116632;0,255902034;0,579300476;0,275567414;0,072315202
12;121,87;48,66;6,29;6,397680872;3,625780196;2,667206022;0,024796242;0,00199738;0,038566193;0,000886674;0,117053861;0,000273645;0,010195513;0,80558936;0,000267953;0,000373179;63,51916801;0,121536544;16,90419345;0,518989213;2,704652397;0,107719073;5,828656278;0,533883395;8,953030651;0,702651209;0,405656401
