h;x;y;pressure;temperature;Q;An;Bi;CPx;Ol;Amf;OPx;Alb;Ort;Gr
6;187,54;49,32;0,1555;93,1;0,002554167;0,000967776;0,000692929;0,000380377;0,113958917;0,013429744;0,000236696;0,525125605;0,076727563;0,265926226
8;187,54;49,32;0,2076;146;0,006864358;0,00011084;1,95E-05;0,359402892;0,000141446;0,160829046;0,028458935;0,004417534;0,439054959;0,000700494
10;187,54;49,32;0,2599;200;8,95E-05;0,001051698;4,47E-07;0,040760398;0,024988956;4,83E-06;0,684271743;2,77E-07;0,248831597;5,31E-07
12;187,54;49,32;0,3124;245,04;0,219991229;0,072208959;0,048002233;0,022092575;0,234416123;0,000471992;0,002220348;0,397241991;0,002973124;0,000381425
2;185,55;49,3;0,0518;28,65;4,21E-05;0,172102229;1,03E-06;0,01802422;0,165308138;0,284252359;0,256273667;0,030985885;0,000232368;0,072778002
4;185,55;49,3;0,1036;53,2;0,001398221;0,00094004;0,004293848;0,016839316;0,202873598;0,000946992;0,002069807;0,036131655;0,718698878;0,015807645
6;185,55;49,3;0,1555;93,1;0,008256056;0,448415213;0,02300348;4,63E-05;0,040868051;0,423988999;6,67E-05;0,000519367;0,000397499;0,054438319
8;185,55;49,3;0,2076;146;0,210743856;0,002610249;0,017814508;1,46E-06;3,51E-05;0,016995897;0,001572305;1,03E-05;0,000623839;0,74959247
10;185,55;49,3;0,2599;200;0,323543199;0,328601652;0,02313522;0,033966642;0,008808749;0,011668642;0,102349364;0,029093807;0,00436884;0,134463883
12;185,55;49,3;0,3124;245,04;0,000330574;6,68E-05;0,000637391;0,00499583;0,065859918;0,373514558;0,543481554;0,005618347;2,78E-05;0,005467253
14;185,55;49,3;0,3654;281,764;0,596741112;0,005980457;0,00311825;0,12363867;0,112785139;0,000182809;0,001330252;0,155119248;0,000811742;0,000292321
16;185,55;49,3;0,4186;313,28;0,004455276;0,810550915;8,64E-06;6,52E-05;9,54E-06;0,10767365;0,002088189;0,070274517;0,004354968;0,000519134
2;183,56;49,28;0,0518;28,65;0,076155312;0,000347962;8,30E-05;0,000152612;0,015448324;0,54904603;0,010847593;0,000320561;0,346188827;0,00140976
4;183,56;49,28;0,1036;53,2;3,23E-05;0,023842146;3,69E-06;2,52E-06;0,060306318;1,14E-05;0,013162838;0,000747382;0,00012609;0,901765334
6;183,56;49,28;0,1555;93,1;0,005453937;0,0001073;0,333959655;0,600086427;5,52E-07;2,93E-05;2,08E-07;5,94E-05;0,060300989;2,28E-06
8;183,56;49,28;0,2076;146;0,0281137;0,019111732;0,005213323;0,008304498;0,034954132;0,753461024;0,003447736;0,142624135;0,004296967;0,000472753
10;183,56;49,28;0,2599;200;3,20E-06;2,07E-06;0,646038433;0,019480206;0,00014856;7,63E-05;0,00367122;1,75E-05;0,00035116;0,330211369
12;183,56;49,28;0,3124;245,04;4,74E-05;7,21E-07;1,55E-05;2,25E-07;0,333709622;0,013011427;0,005100531;0,648110186;2,37E-07;4,15E-06
14;183,56;49,28;0,3654;281,764;0,344507081;0,000915425;0,43379409;7,00E-05;1,26E-05;6,41E-05;0,216387835;5,91E-05;0,002611851;0,001577971
16;183,56;49,28;0,4186;313,28;3,40E-05;0,003585511;0,264721893;0,034896551;0,14753416;1,94E-05;0,001487601;0,000158501;0,547220894;0,000341534
2;181,57;49,26;0,0518;28,65;0,002102446;0,152644119;0,044344633;0,009272397;0,593282169;0,052404389;0,110810936;0,00046946;0,000195719;0,034473732
4;181,57;49,26;0,1036;53,2;0,903791731;0,000565697;0,001180412;0,000142979;0,017978396;0,000157074;0,002962603;0,069329345;0,000565306;0,003326455
6;181,57;49,26;0,1555;93,1;0,38157432;0,462189991;0,003468701;0,00429154;0,003818309;0,05154893;0,084948976;0,003073594;6,02E-07;0,005085037
8;181,57;49,26;0,2076;146;0,000453687;0,000232575;0,007816538;0,000281865;0,027285911;0,02946536;0,001131015;0,909985359;0,007509192;0,015838497
10;181,57;49,26;0,2599;200;0,000908175;0,020107627;0,002859859;0,011809597;0,02337478;0,005723487;0,015084245;0,000408088;0,002832082;0,916892059
12;181,57;49,26;0,3124;245,04;0,119602427;0,001605764;0,003116437;0,000511586;0,000226003;0,35281573;0,000713853;0,002120629;0,518653767;0,000633803
14;181,57;49,26;0,3654;281,764;0,000166244;1,95E-05;0,900304196;0,00024025;0,000223959;0,011683742;7,70E-05;0,000468031;0,07638431;0,010432687
16;181,57;49,26;0,4186;313,28;0,000159278;0,088327148;0,789865481;0,01351385;0,05224642;0,003101219;0,001215229;0,044553632;0,005625735;0,001392008
2;179,58;49,24;0,0518;28,65;0,00452942;0,000139445;0,007746452;0,000127912;0,899731289;0,004820778;0,044948702;0,000417644;0,032930868;0,00460749
4;179,58;49,24;0,1036;53,2;6,80E-06;0,259776466;0,056934864;0,145875122;0,001830242;3,11E-05;0,515950494;0,003023035;4,03E-05;0,016531534
