h;x;y;Velosity_etalon;efVp;ef_Vs;ro
2;175,6;49,2;5,95;6,76233167;4,398841098;2,835908747
4;175,6;49,2;6,05;6,420864524;3,789671209;2,798370819
6;175,6;49,2;6,15;7,365805333;4,537323775;3,473353829
8;175,6;49,2;6,22;6,394199335;4,030114314;2,828194378
10;175,6;49,2;6,25;8,062279518;4,5557872;3,823523796
12;175,6;49,2;6,27;7,294461189;4,163827235;3,202903751
14;175,6;49,2;6,3;7,008791702;4,215964034;3,271230283
16;175,6;49,2;6,32;7,196576414;4,370973594;3,068864584
2;173,61;49,18;5,94;8,344707207;4,776787124;3,260360606
4;173,61;49,18;6,03;7,243537174;4,197884224;3,233325453
6;173,61;49,18;6,12;8,307229778;4,749256827;3,239965057
8;173,61;49,18;6,2;7,340156735;4,45124107;3,462451915
10;173,61;49,18;6,25;6,243389921;3,425981458;2,566690645
12;173,61;49,18;6,29;6,475077787;4,212619733;2,796337892
14;173,61;49,18;6,3;8,228589528;4,692660411;3,246226217
16;173,61;49,18;6,35;6,23186831;4,165428571;2,718790544
2;171,62;49,16;5,93;6,280580007;3,462359033;2,579047616
4;171,62;49,16;6,01;7,348683139;4,06053282;3,126018374
6;171,62;49,16;6,09;7,793243801;4,478144436;3,265234167
8;171,62;49,16;6,17;7,351543225;4,175713694;3,039836312
10;171,62;49,16;6,23;6,985448189;3,943949513;3,408576443
12;171,62;49,16;6,27;5,697801201;2,965685469;2,943878559
14;171,62;49,16;6,3;6,870708053;3,862187085;2,95388582
16;171,62;49,16;6,35;6,437844304;3,554929115;3,080797789
2;169,63;49,14;5,93;7,459552049;4,424298587;3,390639237
4;169,63;49,14;6;6,286438623;3,551628378;2,630213269
6;169,63;49,14;6,08;7,290699709;4,477239711;3,148831755
8;169,63;49,14;6,14;7,299230908;4,149030745;3,025349443
10;169,63;49,14;6,22;7,724005579;4,349114449;3,648269295
12;169,63;49,14;6,27;6,442016541;3,655483287;2,846248943
14;169,63;49,14;6,3;6,822117593;3,809526809;2,873319344
16;169,63;49,14;6,35;7,13531937;3,866269994;2,813289475
2;167,64;49,12;5,93;7,264611274;4,070442115;3,020226215
4;167,64;49,12;5,99;8,098565033;4,596136622;3,307313103
6;167,64;49,12;6,06;6,601502614;3,802015739;2,896385258
8;167,64;49,12;6,12;6,589438198;3,645437222;2,980688474
10;167,64;49,12;6,19;6,429614748;3,69326406;2,69231747
12;167,64;49,12;6,24;7,11948318;4,185584142;3,341787547
14;167,64;49,12;6,28;6,402262372;4,198016579;2,776418558
16;167,64;49,12;6,32;5,833870853;3,089742152;2,886196883
