h;x;y;Vp;Vpcalc;Vscalc;Ro
2;116,17;93,83;6,39;5,505984021;3,186242326;3,116418064
4;116,17;93,83;6,44;6,571566583;3,788913132;3,239465032
6;116,17;93,83;6,48;5,636116164;3,399828882;3,289924806
8;116,17;93,83;6,53;4,62199047;2,589830308;2,991438848
0;116,17;93,83;6,57;8,287327223;4,38493375;2,77843732
4;116,17;93,83;6,66;7,87135864;4,194848773;2,819453791
6;116,17;93,83;6,7;5,360771102;3,373614241;3,005096138
8;116,17;93,83;6,74;2,903897013;1,75598512;2,838305111
2;116,17;93,83;6,84;4,471186643;2,653753069;2,976857996
4;116,17;93,83;6,88;5,520011716;3,18757407;3,154807281
6;116,17;93,83;6,94;4,862926513;2,872692493;2,761523218
8;116,17;93,83;7;3,247513035;1,821738689;2,659225161
1;116,53;91,87;6,22;7,77764684;4,265377384;2,906404664
3;116,53;91,87;6,35;8,246677977;4,675996075;2,797667556
4;116,53;91,87;6,42;3,991665745;2,297809674;2,820291325
5;116,53;91,87;6,07;4,910253449;2,926999284;3,15442915
6;116,53;91,87;6,15;5,598543982;3,437730294;3,492785642
8;116,53;91,87;6,27;8,323233447;4,443374232;2,774005413
0;116,53;91,87;6,34;6,597546896;3,801344512;3,231766528
2;116,53;91,87;6,39;4,409245646;2,979985764;2,770980774
4;116,53;91,87;6,44;5,394342329;3,081346833;3,15292476
6;116,53;91,87;6,48;6,903021457;3,97966313;3,309018974
8;116,53;91,87;6,53;5,901979004;3,185779073;2,689692167
0;116,53;91,87;6,57;3,51799528;2,257995268;2,763986052
2;116,53;91,87;6,62;7,084310858;3,919122706;2,87680721
4;116,53;91,87;6,66;5,853888957;3,210559144;2,810313286
6;116,53;91,87;6,7;4,868216228;2,786961402;2,87638133
0;116,53;91,87;6,78;5,59081857;3,215219146;3,212884982
2;116,53;91,87;6,84;6,537845619;3,785074095;3,303743503
4;116,53;91,87;6,88;5,246004687;3,133261024;3,013772563
6;116,53;91,87;6,94;5,301072695;3,031986088;3,071838581
8;116,53;91,87;7;5,873042125;3,426464622;3,214683731
1;116,9;89,9;6,21;22,97134085;10,59652381;3,313515418
2;116,9;89,9;6,29;6,266492362;3,551008769;2,827171629
3;116,9;89,9;6,34;3,501017207;2,016816214;2,833276924
4;116,9;89,9;6,39;6,647657728;3,828200619;3,254163145
5;116,9;89,9;6,09;4,069675059;2,874573998;2,716110703
6;116,9;89,9;6,16;3,408416631;1,982019859;2,651718377
8;116,9;89,9;6,27;5,32830451;3,222160504;3,057460846
0;116,9;89,9;6,34;7,136189028;4,072793087;3,162833048
2;116,9;89,9;6,4;6,692371803;3,838776513;3,255853718
4;116,9;89,9;6,44;2,225741406;1,23132193;2,584713818
6;116,9;89,9;6,48;4,866413739;2,741780345;3,052542443
8;116,9;89,9;6,53;8,306955062;4,435564832;2,769483158
0;116,9;89,9;6,57;7,222441097;3,945440709;2,794519687
2;116,9;89,9;6,62;5,388010435;3,230967408;3,018591042
4;116,9;89,9;6,66;4,418225;2,500443728;2,827083558
6;116,9;89,9;6,7;5,418008928;3,063489657;2,699875731
8;116,9;89,9;6,74;5,694386928;3,108180593;2,702742024
0;116,9;89,9;6,78;5,591426077;2,893362473;2,844172692
2;116,9;89,9;6,84;7,954016096;5,118979582;2,908269885
4;116,9;89,9;6,88;6,450099377;3,735446228;3,300308584
8;116,9;89,9;7;5,891275544;3,487202435;3,307492928
1;117,27;87,93;6,2;3,623055719;2,659258288;2,658733444
2;117,27;87,93;6,28;6,752123806;3,882530412;3,242083314
4;117,27;87,93;6,37;4,035830703;2,505994404;2,802840826
5;117,27;87,93;6,09;15,17317163;7,736140824;3,113161526
6;117,27;87,93;6,16;4,441193205;2,561501998;2,769051236
8;117,27;87,93;6,27;4,488114822;2,530723747;3,093213977
0;117,27;87,93;6,34;5,340508235;3,018027503;3,123365806
2;117,27;87,93;6,4;2,993861817;1,591024993;2,576649824
4;117,27;87,93;6,44;5,530903123;3,234653071;3,289780243
6;117,27;87,93;6,48;4,602474036;2,622832246;2,773772439
8;117,27;87,93;6,53;4,719773358;2,771207296;2,975847358
0;117,27;87,93;6,57;2,14719451;0,856152432;2,913055647
2;117,27;87,93;6,62;3,640380646;1,93924451;2,986588148
4;117,27;87,93;6,66;3,746955358;2,699278721;2,752635879
6;117,27;87,93;6,7;7,995323699;4,299962883;2,758730875
8;117,27;87,93;6,74;6,816177244;3,660678402;2,772212125
0;117,27;87,93;6,78;3,76952213;2,056327609;2,962935634
2;117,27;87,93;6,84;8,10468141;4,483010512;2,898297034
4;117,27;87,93;6,88;7,02603192;3,860798097;2,982587356
